Hi-C	Recomb	N	n	K	k	Probability
11	11	1	23	1	1	-1
11	12	1	23	1	1	-1
11	13	1	23	1	1	-1
11	14	1	23	1	1	-1
11	15	1	23	1	1	-1
11	16	1	23	1	1	-1
12	1	1	24	1	1	-1
12	2	1	24	1	1	-1
12	3	1	24	1	1	-1
12	4	2	24	2	2	-1
12	5	1	24	1	1	-1
12	6	1	24	1	1	-1
12	7	1	24	1	1	-1
12	8	1	24	1	1	-1
12	9	1	24	1	1	-1
12	10	1	24	1	1	-1
12	11	1	24	1	1	-1
12	12	1	24	1	1	-1
12	13	1	24	1	1	-1
12	14	1	24	1	1	-1
12	15	1	24	1	1	-1
12	16	1	24	1	1	-1
13	1	1	19	1	1	-1
13	2	1	19	1	1	-1
13	3	1	19	1	1	-1
13	4	2	19	2	2	-1
13	5	1	19	1	1	-1
13	6	1	19	1	1	-1
13	7	1	19	1	1	-1
13	8	1	19	1	1	-1
13	9	1	19	1	1	-1
13	10	1	19	1	1	-1
13	11	1	19	1	1	-1
13	12	1	19	1	1	-1
13	13	1	19	1	1	-1
13	14	1	19	1	1	-1
13	15	1	19	1	1	-1
13	16	1	19	1	1	-1
14	1	1	11	1	1	-1
14	2	1	11	1	1	-1
14	3	1	11	1	1	-1
14	4	2	11	2	2	-1
14	5	1	11	1	1	-1
14	6	1	11	1	1	-1
14	7	1	11	1	1	-1
14	8	1	11	1	1	-1
14	9	1	11	1	1	-1
14	10	1	11	1	1	-1
14	11	1	11	1	1	-1
14	12	1	11	1	1	-1
14	13	1	11	1	1	-1
14	14	1	11	1	1	-1
14	15	1	11	1	1	-1
14	16	1	11	1	1	-1
15	1	1	7	1	1	-1
15	2	1	7	1	1	-1
15	3	1	7	1	1	-1
15	4	2	7	2	2	-1
15	5	1	7	1	1	-1
15	6	1	7	1	1	-1
15	7	1	7	1	1	-1
15	8	1	7	1	1	-1
15	9	1	7	1	1	-1
15	10	1	7	1	1	-1
15	11	1	7	1	1	-1
15	12	1	7	1	1	-1
15	13	1	7	1	1	-1
15	14	1	7	1	1	-1
15	15	1	7	1	1	-1
15	16	1	7	1	1	-1
16	1	1	2	1	1	-1
16	2	1	2	1	1	-1
16	3	1	2	1	1	-1
16	4	2	2	2	2	1.0
16	5	1	2	1	1	-1
16	6	1	2	1	1	-1
16	7	1	2	1	1	-1
16	8	1	2	1	1	-1
16	9	1	2	1	1	-1
16	10	1	2	1	1	-1
16	11	1	2	1	1	-1
16	12	1	2	1	1	-1
16	13	1	2	1	1	-1
16	14	1	2	1	1	-1
16	15	1	2	1	1	-1
16	16	1	2	1	1	-1
1	1	1	21	1	1	-1
1	2	1	21	1	1	-1
1	3	1	21	1	1	-1
1	4	2	21	2	2	-1
1	5	1	21	1	1	-1
1	6	1	21	1	1	-1
1	7	1	21	1	1	-1
1	8	1	21	1	1	-1
1	9	1	21	1	1	-1
1	10	1	21	1	1	-1
1	11	1	21	1	1	-1
1	12	1	21	1	1	-1
1	13	1	21	1	1	-1
1	14	1	21	1	1	-1
1	15	1	21	1	1	-1
1	16	1	21	1	1	-1
2	1	1	69	1	1	-1
2	2	1	69	1	1	-1
2	3	1	69	1	1	-1
2	4	2	69	2	2	-1
2	5	1	69	1	1	-1
2	6	1	69	1	1	-1
2	7	1	69	1	1	-1
2	8	1	69	1	1	-1
2	9	1	69	1	1	-1
2	10	1	69	1	1	-1
2	11	1	69	1	1	-1
2	12	1	69	1	1	-1
2	13	1	69	1	1	-1
2	14	1	69	1	1	-1
2	15	1	69	1	1	-1
2	16	1	69	1	1	-1
3	1	1	29	1	1	-1
3	2	1	29	1	1	-1
3	3	1	29	1	1	-1
3	4	2	29	2	2	-1
3	5	1	29	1	1	-1
3	6	1	29	1	1	-1
3	7	1	29	1	1	-1
3	8	1	29	1	1	-1
3	9	1	29	1	1	-1
3	10	1	29	1	1	-1
3	11	1	29	1	1	-1
3	12	1	29	1	1	-1
3	13	1	29	1	1	-1
3	14	1	29	1	1	-1
3	15	1	29	1	1	-1
3	16	1	29	1	1	-1
4	1	1	86	1	1	-1
4	2	1	86	1	1	-1
4	3	1	86	1	1	-1
4	4	2	86	2	2	-1
4	5	1	86	1	1	-1
4	6	1	86	1	1	-1
4	7	1	86	1	1	-1
4	8	1	86	1	1	-1
4	9	1	86	1	1	-1
4	10	1	86	1	1	-1
4	11	1	86	1	1	-1
4	12	1	86	1	1	-1
4	13	1	86	1	1	-1
4	14	1	86	1	1	-1
4	15	1	86	1	1	-1
4	16	1	86	1	1	-1
5	1	1	37	1	1	-1
5	2	1	37	1	1	-1
5	3	1	37	1	1	-1
5	4	2	37	2	2	-1
5	5	1	37	1	1	-1
5	6	1	37	1	1	-1
5	7	1	37	1	1	-1
5	8	1	37	1	1	-1
5	9	1	37	1	1	-1
5	10	1	37	1	1	-1
5	11	1	37	1	1	-1
5	12	1	37	1	1	-1
5	13	1	37	1	1	-1
5	14	1	37	1	1	-1
5	15	1	37	1	1	-1
5	16	1	37	1	1	-1
6	1	1	23	1	1	-1
6	2	1	23	1	1	-1
6	3	1	23	1	1	-1
6	4	2	23	2	2	-1
6	5	1	23	1	1	-1
6	6	1	23	1	1	-1
6	7	1	23	1	1	-1
6	8	1	23	1	1	-1
6	9	1	23	1	1	-1
6	10	1	23	1	1	-1
6	11	1	23	1	1	-1
6	12	1	23	1	1	-1
6	13	1	23	1	1	-1
6	14	1	23	1	1	-1
6	15	1	23	1	1	-1
6	16	1	23	1	1	-1
7	1	1	54	1	1	-1
7	2	1	54	1	1	-1
7	3	1	54	1	1	-1
7	4	2	54	2	2	-1
7	5	1	54	1	1	-1
7	6	1	54	1	1	-1
7	7	1	54	1	1	-1
7	8	1	54	1	1	-1
7	9	1	54	1	1	-1
7	10	1	54	1	1	-1
7	11	1	54	1	1	-1
7	12	1	54	1	1	-1
7	13	1	54	1	1	-1
7	14	1	54	1	1	-1
7	15	1	54	1	1	-1
7	16	1	54	1	1	-1
8	1	1	28	1	1	-1
8	2	1	28	1	1	-1
8	3	1	28	1	1	-1
8	4	2	28	2	2	-1
8	5	1	28	1	1	-1
8	6	1	28	1	1	-1
8	7	1	28	1	1	-1
8	8	1	28	1	1	-1
8	9	1	28	1	1	-1
8	10	1	28	1	1	-1
8	11	1	28	1	1	-1
8	12	1	28	1	1	-1
8	13	1	28	1	1	-1
8	14	1	28	1	1	-1
8	15	1	28	1	1	-1
8	16	1	28	1	1	-1
9	1	1	21	1	1	-1
9	2	1	21	1	1	-1
9	3	1	21	1	1	-1
9	4	2	21	2	2	-1
9	5	1	21	1	1	-1
9	6	1	21	1	1	-1
9	7	1	21	1	1	-1
9	8	1	21	1	1	-1
9	9	1	21	1	1	-1
9	10	1	21	1	1	-1
9	11	1	21	1	1	-1
9	12	1	21	1	1	-1
9	13	1	21	1	1	-1
9	14	1	21	1	1	-1
9	15	1	21	1	1	-1
9	16	1	21	1	1	-1
10	1	1	27	1	1	-1
10	2	1	27	1	1	-1
10	3	1	27	1	1	-1
10	4	2	27	2	2	-1
10	5	1	27	1	1	-1
10	6	1	27	1	1	-1
10	7	1	27	1	1	-1
10	8	1	27	1	1	-1
10	9	1	27	1	1	-1
10	10	1	27	1	1	-1
10	11	1	27	1	1	-1
10	12	1	27	1	1	-1
10	13	1	27	1	1	-1
10	14	1	27	1	1	-1
10	15	1	27	1	1	-1
10	16	1	27	1	1	-1
11	1	1	23	1	1	-1
11	2	1	23	1	1	-1
11	3	1	23	1	1	-1
11	4	2	23	2	2	-1
11	5	1	23	1	1	-1
11	6	1	23	1	1	-1
11	7	1	23	1	1	-1
11	8	1	23	1	1	-1
11	9	1	23	1	1	-1
11	10	1	23	1	1	-1
11	11	1	23	1	1	-1
11	12	1	23	1	1	-1
11	13	1	23	1	1	-1
11	14	1	23	1	1	-1
11	15	1	23	1	1	-1
11	16	1	23	1	1	-1
12	1	1	24	1	1	-1
12	2	1	24	1	1	-1
12	3	1	24	1	1	-1
12	4	2	24	2	2	-1
12	5	1	24	1	1	-1
12	6	1	24	1	1	-1
12	7	1	24	1	1	-1
12	8	1	24	1	1	-1
12	9	1	24	1	1	-1
12	10	1	24	1	1	-1
12	11	1	24	1	1	-1
12	12	1	24	1	1	-1
12	13	1	24	1	1	-1
12	14	1	24	1	1	-1
12	15	1	24	1	1	-1
12	16	1	24	1	1	-1
13	1	1	18	1	1	-1
13	2	1	18	1	1	-1
13	3	1	18	1	1	-1
13	4	2	18	2	2	-1
13	5	1	18	1	1	-1
13	6	1	18	1	1	-1
13	7	1	18	1	1	-1
13	8	1	18	1	1	-1
13	9	1	18	1	1	-1
13	10	1	18	1	1	-1
13	11	1	18	1	1	-1
13	12	1	18	1	1	-1
13	13	1	18	1	1	-1
13	14	1	18	1	1	-1
13	15	1	18	1	1	-1
13	16	1	18	1	1	-1
14	1	1	11	1	1	-1
14	2	1	11	1	1	-1
14	3	1	11	1	1	-1
14	4	2	11	2	2	-1
14	5	1	11	1	1	-1
14	6	1	11	1	1	-1
14	7	1	11	1	1	-1
14	8	1	11	1	1	-1
14	9	1	11	1	1	-1
14	10	1	11	1	1	-1
14	11	1	11	1	1	-1
14	12	1	11	1	1	-1
14	13	1	11	1	1	-1
14	14	1	11	1	1	-1
14	15	1	11	1	1	-1
14	16	1	11	1	1	-1
15	1	1	7	1	1	-1
15	2	1	7	1	1	-1
15	3	1	7	1	1	-1
15	4	2	7	2	2	-1
15	5	1	7	1	1	-1
15	6	1	7	1	1	-1
15	7	1	7	1	1	-1
15	8	1	7	1	1	-1
15	9	1	7	1	1	-1
15	10	1	7	1	1	-1
15	11	1	7	1	1	-1
15	12	1	7	1	1	-1
15	13	1	7	1	1	-1
15	14	1	7	1	1	-1
15	15	1	7	1	1	-1
15	16	1	7	1	1	-1
16	1	1	2	1	1	-1
16	2	1	2	1	1	-1
16	3	1	2	1	1	-1
16	4	2	2	2	2	1.0
16	5	1	2	1	1	-1
16	6	1	2	1	1	-1
16	7	1	2	1	1	-1
16	8	1	2	1	1	-1
16	9	1	2	1	1	-1
16	10	1	2	1	1	-1
16	11	1	2	1	1	-1
16	12	1	2	1	1	-1
16	13	1	2	1	1	-1
16	14	1	2	1	1	-1
16	15	1	2	1	1	-1
16	16	1	2	1	1	-1
1	1	1	21	1	1	-1
1	2	1	21	1	1	-1
1	3	1	21	1	1	-1
1	4	2	21	2	2	-1
1	5	1	21	1	1	-1
1	6	1	21	1	1	-1
1	7	1	21	1	1	-1
1	8	1	21	1	1	-1
1	9	1	21	1	1	-1
1	10	1	21	1	1	-1
1	11	1	21	1	1	-1
1	12	1	21	1	1	-1
1	13	1	21	1	1	-1
1	14	1	21	1	1	-1
1	15	1	21	1	1	-1
1	16	1	21	1	1	-1
2	1	1	68	1	1	-1
2	2	1	68	1	1	-1
2	3	1	68	1	1	-1
2	4	2	68	2	2	-1
2	5	1	68	1	1	-1
2	6	1	68	1	1	-1
2	7	1	68	1	1	-1
2	8	1	68	1	1	-1
2	9	1	68	1	1	-1
2	10	1	68	1	1	-1
2	11	1	68	1	1	-1
2	12	1	68	1	1	-1
2	13	1	68	1	1	-1
2	14	1	68	1	1	-1
2	15	1	68	1	1	-1
2	16	1	68	1	1	-1
3	1	1	28	1	1	-1
3	2	1	28	1	1	-1
3	3	1	28	1	1	-1
3	4	2	28	2	2	-1
3	5	1	28	1	1	-1
3	6	1	28	1	1	-1
3	7	1	28	1	1	-1
3	8	1	28	1	1	-1
3	9	1	28	1	1	-1
3	10	1	28	1	1	-1
3	11	1	28	1	1	-1
3	12	1	28	1	1	-1
3	13	1	28	1	1	-1
3	14	1	28	1	1	-1
3	15	1	28	1	1	-1
3	16	1	28	1	1	-1
4	1	1	85	1	1	-1
4	2	1	85	1	1	-1
4	3	1	85	1	1	-1
4	4	2	85	2	2	-1
4	5	1	85	1	1	-1
4	6	1	85	1	1	-1
4	7	1	85	1	1	-1
4	8	1	85	1	1	-1
4	9	1	85	1	1	-1
4	10	1	85	1	1	-1
4	11	1	85	1	1	-1
4	12	1	85	1	1	-1
4	13	1	85	1	1	-1
4	14	1	85	1	1	-1
4	15	1	85	1	1	-1
4	16	1	85	1	1	-1
5	1	1	37	1	1	-1
5	2	1	37	1	1	-1
5	3	1	37	1	1	-1
5	4	2	37	2	2	-1
5	5	1	37	1	1	-1
5	6	1	37	1	1	-1
5	7	1	37	1	1	-1
5	8	1	37	1	1	-1
5	9	1	37	1	1	-1
5	10	1	37	1	1	-1
5	11	1	37	1	1	-1
5	12	1	37	1	1	-1
5	13	1	37	1	1	-1
5	14	1	37	1	1	-1
5	15	1	37	1	1	-1
5	16	1	37	1	1	-1
6	1	1	23	1	1	-1
6	2	1	23	1	1	-1
6	3	1	23	1	1	-1
6	4	2	23	2	2	-1
6	5	1	23	1	1	-1
6	6	1	23	1	1	-1
6	7	1	23	1	1	-1
6	8	1	23	1	1	-1
6	9	1	23	1	1	-1
6	10	1	23	1	1	-1
6	11	1	23	1	1	-1
6	12	1	23	1	1	-1
6	13	1	23	1	1	-1
6	14	1	23	1	1	-1
6	15	1	23	1	1	-1
6	16	1	23	1	1	-1
7	1	1	53	1	1	-1
7	2	1	53	1	1	-1
7	3	1	53	1	1	-1
7	4	2	53	2	2	-1
7	5	1	53	1	1	-1
7	6	1	53	1	1	-1
7	7	1	53	1	1	-1
7	8	1	53	1	1	-1
7	9	1	53	1	1	-1
7	10	1	53	1	1	-1
7	11	1	53	1	1	-1
7	12	1	53	1	1	-1
7	13	1	53	1	1	-1
7	14	1	53	1	1	-1
7	15	1	53	1	1	-1
7	16	1	53	1	1	-1
8	1	1	28	1	1	-1
8	2	1	28	1	1	-1
8	3	1	28	1	1	-1
8	4	2	28	2	2	-1
8	5	1	28	1	1	-1
8	6	1	28	1	1	-1
8	7	1	28	1	1	-1
8	8	1	28	1	1	-1
8	9	1	28	1	1	-1
8	10	1	28	1	1	-1
8	11	1	28	1	1	-1
8	12	1	28	1	1	-1
8	13	1	28	1	1	-1
8	14	1	28	1	1	-1
8	15	1	28	1	1	-1
8	16	1	28	1	1	-1
9	1	1	21	1	1	-1
9	2	1	21	1	1	-1
9	3	1	21	1	1	-1
9	4	2	21	2	2	-1
9	5	1	21	1	1	-1
9	6	1	21	1	1	-1
9	7	1	21	1	1	-1
9	8	1	21	1	1	-1
9	9	1	21	1	1	-1
9	10	1	21	1	1	-1
9	11	1	21	1	1	-1
9	12	1	21	1	1	-1
9	13	1	21	1	1	-1
9	14	1	21	1	1	-1
9	15	1	21	1	1	-1
9	16	1	21	1	1	-1
10	1	1	26	1	1	-1
10	2	1	26	1	1	-1
10	3	1	26	1	1	-1
10	4	2	26	2	2	-1
10	5	1	26	1	1	-1
10	6	1	26	1	1	-1
10	7	1	26	1	1	-1
10	8	1	26	1	1	-1
10	9	1	26	1	1	-1
10	10	1	26	1	1	-1
10	11	1	26	1	1	-1
10	12	1	26	1	1	-1
10	13	1	26	1	1	-1
10	14	1	26	1	1	-1
10	15	1	26	1	1	-1
10	16	1	26	1	1	-1
11	1	1	23	1	1	-1
11	2	1	23	1	1	-1
11	3	1	23	1	1	-1
11	4	2	23	2	2	-1
11	5	1	23	1	1	-1
11	6	1	23	1	1	-1
11	7	1	23	1	1	-1
11	8	1	23	1	1	-1
11	9	1	23	1	1	-1
11	10	1	23	1	1	-1
11	11	1	23	1	1	-1
11	12	1	23	1	1	-1
11	13	1	23	1	1	-1
11	14	1	23	1	1	-1
11	15	1	23	1	1	-1
11	16	1	23	1	1	-1
12	1	1	23	1	1	-1
12	2	1	23	1	1	-1
12	3	1	23	1	1	-1
12	4	2	23	2	2	-1
12	5	1	23	1	1	-1
12	6	1	23	1	1	-1
12	7	1	23	1	1	-1
12	8	1	23	1	1	-1
12	9	1	23	1	1	-1
12	10	1	23	1	1	-1
12	11	1	23	1	1	-1
12	12	1	23	1	1	-1
12	13	1	23	1	1	-1
12	14	1	23	1	1	-1
12	15	1	23	1	1	-1
12	16	1	23	1	1	-1
13	1	1	18	1	1	-1
13	2	1	18	1	1	-1
13	3	1	18	1	1	-1
13	4	2	18	2	2	-1
13	5	1	18	1	1	-1
13	6	1	18	1	1	-1
13	7	1	18	1	1	-1
13	8	1	18	1	1	-1
13	9	1	18	1	1	-1
13	10	1	18	1	1	-1
13	11	1	18	1	1	-1
13	12	1	18	1	1	-1
13	13	1	18	1	1	-1
13	14	1	18	1	1	-1
13	15	1	18	1	1	-1
13	16	1	18	1	1	-1
14	1	1	11	1	1	-1
14	2	1	11	1	1	-1
14	3	1	11	1	1	-1
14	4	2	11	2	2	-1
14	5	1	11	1	1	-1
14	6	1	11	1	1	-1
14	7	1	11	1	1	-1
14	8	1	11	1	1	-1
14	9	1	11	1	1	-1
14	10	1	11	1	1	-1
14	11	1	11	1	1	-1
14	12	1	11	1	1	-1
14	13	1	11	1	1	-1
14	14	1	11	1	1	-1
14	15	1	11	1	1	-1
14	16	1	11	1	1	-1
15	1	1	7	1	1	-1
15	2	1	7	1	1	-1
15	3	1	7	1	1	-1
15	4	2	7	2	2	-1
15	5	1	7	1	1	-1
15	6	1	7	1	1	-1
15	7	1	7	1	1	-1
15	8	1	7	1	1	-1
15	9	1	7	1	1	-1
15	10	1	7	1	1	-1
15	11	1	7	1	1	-1
15	12	1	7	1	1	-1
15	13	1	7	1	1	-1
15	14	1	7	1	1	-1
15	15	1	7	1	1	-1
15	16	1	7	1	1	-1
16	1	1	2	1	1	-1
16	2	1	2	1	1	-1
16	3	1	2	1	1	-1
16	4	2	2	2	2	1.0
16	5	1	2	1	1	-1
16	6	1	2	1	1	-1
16	7	1	2	1	1	-1
16	8	1	2	1	1	-1
16	9	1	2	1	1	-1
16	10	1	2	1	1	-1
16	11	1	2	1	1	-1
16	12	1	2	1	1	-1
16	13	1	2	1	1	-1
16	14	1	2	1	1	-1
16	15	1	2	1	1	-1
16	16	1	2	1	1	-1
1	1	1	20	1	1	-1
1	2	1	20	1	1	-1
1	3	1	20	1	1	-1
1	4	2	20	2	2	-1
1	5	1	20	1	1	-1
1	6	1	20	1	1	-1
1	7	1	20	1	1	-1
1	8	1	20	1	1	-1
1	9	1	20	1	1	-1
1	10	1	20	1	1	-1
1	11	1	20	1	1	-1
1	12	1	20	1	1	-1
1	13	1	20	1	1	-1
1	14	1	20	1	1	-1
1	15	1	20	1	1	-1
1	16	1	20	1	1	-1
2	1	1	67	1	1	-1
2	2	1	67	1	1	-1
2	3	1	67	1	1	-1
2	4	2	67	2	2	-1
2	5	1	67	1	1	-1
2	6	1	67	1	1	-1
2	7	1	67	1	1	-1
2	8	1	67	1	1	-1
2	9	1	67	1	1	-1
2	10	1	67	1	1	-1
2	11	1	67	1	1	-1
2	12	1	67	1	1	-1
2	13	1	67	1	1	-1
2	14	1	67	1	1	-1
2	15	1	67	1	1	-1
2	16	1	67	1	1	-1
3	1	1	28	1	1	-1
3	2	1	28	1	1	-1
3	3	1	28	1	1	-1
3	4	2	28	2	2	-1
3	5	1	28	1	1	-1
3	6	1	28	1	1	-1
3	7	1	28	1	1	-1
3	8	1	28	1	1	-1
3	9	1	28	1	1	-1
3	10	1	28	1	1	-1
3	11	1	28	1	1	-1
3	12	1	28	1	1	-1
3	13	1	28	1	1	-1
3	14	1	28	1	1	-1
3	15	1	28	1	1	-1
3	16	1	28	1	1	-1
4	1	1	83	1	1	-1
4	2	1	83	1	1	-1
4	3	1	83	1	1	-1
4	4	2	83	2	2	-1
4	5	1	83	1	1	-1
4	6	1	83	1	1	-1
4	7	1	83	1	1	-1
4	8	1	83	1	1	-1
4	9	1	83	1	1	-1
4	10	1	83	1	1	-1
4	11	1	83	1	1	-1
4	12	1	83	1	1	-1
4	13	1	83	1	1	-1
4	14	1	83	1	1	-1
4	15	1	83	1	1	-1
4	16	1	83	1	1	-1
5	1	1	36	1	1	-1
5	2	1	36	1	1	-1
5	3	1	36	1	1	-1
5	4	2	36	2	2	-1
5	5	1	36	1	1	-1
5	6	1	36	1	1	-1
5	7	1	36	1	1	-1
5	8	1	36	1	1	-1
5	9	1	36	1	1	-1
5	10	1	36	1	1	-1
5	11	1	36	1	1	-1
5	12	1	36	1	1	-1
5	13	1	36	1	1	-1
5	14	1	36	1	1	-1
5	15	1	36	1	1	-1
5	16	1	36	1	1	-1
6	1	1	23	1	1	-1
6	2	1	23	1	1	-1
6	3	1	23	1	1	-1
6	4	2	23	2	2	-1
6	5	1	23	1	1	-1
6	6	1	23	1	1	-1
6	7	1	23	1	1	-1
6	8	1	23	1	1	-1
6	9	1	23	1	1	-1
6	10	1	23	1	1	-1
6	11	1	23	1	1	-1
6	12	1	23	1	1	-1
6	13	1	23	1	1	-1
6	14	1	23	1	1	-1
6	15	1	23	1	1	-1
6	16	1	23	1	1	-1
7	1	1	52	1	1	-1
7	2	1	52	1	1	-1
7	3	1	52	1	1	-1
7	4	2	52	2	2	-1
7	5	1	52	1	1	-1
7	6	1	52	1	1	-1
7	7	1	52	1	1	-1
7	8	1	52	1	1	-1
7	9	1	52	1	1	-1
7	10	1	52	1	1	-1
7	11	1	52	1	1	-1
7	12	1	52	1	1	-1
7	13	1	52	1	1	-1
7	14	1	52	1	1	-1
7	15	1	52	1	1	-1
7	16	1	52	1	1	-1
8	1	1	27	1	1	-1
8	2	1	27	1	1	-1
8	3	1	27	1	1	-1
8	4	2	27	2	2	-1
8	5	1	27	1	1	-1
8	6	1	27	1	1	-1
8	7	1	27	1	1	-1
8	8	1	27	1	1	-1
8	9	1	27	1	1	-1
8	10	1	27	1	1	-1
8	11	1	27	1	1	-1
8	12	1	27	1	1	-1
8	13	1	27	1	1	-1
8	14	1	27	1	1	-1
8	15	1	27	1	1	-1
8	16	1	27	1	1	-1
9	1	1	21	1	1	-1
9	2	1	21	1	1	-1
9	3	1	21	1	1	-1
9	4	2	21	2	2	-1
9	5	1	21	1	1	-1
9	6	1	21	1	1	-1
9	7	1	21	1	1	-1
9	8	1	21	1	1	-1
9	9	1	21	1	1	-1
9	10	1	21	1	1	-1
9	11	1	21	1	1	-1
9	12	1	21	1	1	-1
9	13	1	21	1	1	-1
9	14	1	21	1	1	-1
9	15	1	21	1	1	-1
9	16	1	21	1	1	-1
10	1	1	26	1	1	-1
10	2	1	26	1	1	-1
10	3	1	26	1	1	-1
10	4	2	26	2	2	-1
10	5	1	26	1	1	-1
10	6	1	26	1	1	-1
10	7	1	26	1	1	-1
10	8	1	26	1	1	-1
10	9	1	26	1	1	-1
10	10	1	26	1	1	-1
10	11	1	26	1	1	-1
10	12	1	26	1	1	-1
10	13	1	26	1	1	-1
10	14	1	26	1	1	-1
10	15	1	26	1	1	-1
10	16	1	26	1	1	-1
11	1	1	22	1	1	-1
11	2	1	22	1	1	-1
