Hi-C	Recomb	N	n	K	k	Probability
1	1	1	22	1	1	-1
1	2	1	22	1	1	-1
1	3	1	22	1	1	-1
1	4	2	22	2	2	-1
1	5	1	22	1	1	-1
1	6	1	22	1	1	-1
1	7	1	22	1	1	-1
1	8	1	22	1	1	-1
1	9	1	22	1	1	-1
1	10	1	22	1	1	-1
1	11	1	22	1	1	-1
1	12	1	22	1	1	-1
1	13	1	22	1	1	-1
1	14	1	22	1	1	-1
1	15	1	22	1	1	-1
1	16	1	22	1	1	-1
2	1	1	70	1	1	-1
2	2	1	70	1	1	-1
2	3	1	70	1	1	-1
2	4	2	70	2	2	-1
2	5	1	70	1	1	-1
2	6	1	70	1	1	-1
2	7	1	70	1	1	-1
2	8	1	70	1	1	-1
2	9	1	70	1	1	-1
2	10	1	70	1	1	-1
2	11	1	70	1	1	-1
2	12	1	70	1	1	-1
2	13	1	70	1	1	-1
2	14	1	70	1	1	-1
2	15	1	70	1	1	-1
2	16	1	70	1	1	-1
3	1	1	29	1	1	-1
3	2	1	29	1	1	-1
3	3	1	29	1	1	-1
3	4	2	29	2	2	-1
3	5	1	29	1	1	-1
3	6	1	29	1	1	-1
3	7	1	29	1	1	-1
3	8	1	29	1	1	-1
3	9	1	29	1	1	-1
3	10	1	29	1	1	-1
3	11	1	29	1	1	-1
3	12	1	29	1	1	-1
3	13	1	29	1	1	-1
3	14	1	29	1	1	-1
3	15	1	29	1	1	-1
3	16	1	29	1	1	-1
4	1	1	88	1	1	-1
4	2	1	88	1	1	-1
4	3	1	88	1	1	-1
4	4	2	88	2	2	-1
4	5	1	88	1	1	-1
4	6	1	88	1	1	-1
4	7	1	88	1	1	-1
4	8	1	88	1	1	-1
4	9	1	88	1	1	-1
4	10	1	88	1	1	-1
4	11	1	88	1	1	-1
4	12	1	88	1	1	-1
4	13	1	88	1	1	-1
4	14	1	88	1	1	-1
4	15	1	88	1	1	-1
4	16	1	88	1	1	-1
5	1	1	38	1	1	-1
5	2	1	38	1	1	-1
5	3	1	38	1	1	-1
5	4	2	38	2	2	-1
5	5	1	38	1	1	-1
5	6	1	38	1	1	-1
5	7	1	38	1	1	-1
5	8	1	38	1	1	-1
5	9	1	38	1	1	-1
5	10	1	38	1	1	-1
5	11	1	38	1	1	-1
5	12	1	38	1	1	-1
5	13	1	38	1	1	-1
5	14	1	38	1	1	-1
5	15	1	38	1	1	-1
5	16	1	38	1	1	-1
6	1	1	24	1	1	-1
6	2	1	24	1	1	-1
6	3	1	24	1	1	-1
6	4	2	24	2	2	-1
6	5	1	24	1	1	-1
6	6	1	24	1	1	-1
6	7	1	24	1	1	-1
6	8	1	24	1	1	-1
6	9	1	24	1	1	-1
6	10	1	24	1	1	-1
6	11	1	24	1	1	-1
6	12	1	24	1	1	-1
6	13	1	24	1	1	-1
6	14	1	24	1	1	-1
6	15	1	24	1	1	-1
6	16	1	24	1	1	-1
7	1	1	55	1	1	-1
7	2	1	55	1	1	-1
7	3	1	55	1	1	-1
7	4	2	55	2	2	-1
7	5	1	55	1	1	-1
7	6	1	55	1	1	-1
7	7	1	55	1	1	-1
7	8	1	55	1	1	-1
7	9	1	55	1	1	-1
7	10	1	55	1	1	-1
7	11	1	55	1	1	-1
7	12	1	55	1	1	-1
7	13	1	55	1	1	-1
7	14	1	55	1	1	-1
7	15	1	55	1	1	-1
7	16	1	55	1	1	-1
8	1	1	29	1	1	-1
8	2	1	29	1	1	-1
8	3	1	29	1	1	-1
8	4	2	29	2	2	-1
8	5	1	29	1	1	-1
8	6	1	29	1	1	-1
8	7	1	29	1	1	-1
8	8	1	29	1	1	-1
8	9	1	29	1	1	-1
8	10	1	29	1	1	-1
8	11	1	29	1	1	-1
8	12	1	29	1	1	-1
8	13	1	29	1	1	-1
8	14	1	29	1	1	-1
8	15	1	29	1	1	-1
8	16	1	29	1	1	-1
9	1	1	22	1	1	-1
9	2	1	22	1	1	-1
9	3	1	22	1	1	-1
9	4	2	22	2	2	-1
9	5	1	22	1	1	-1
9	6	1	22	1	1	-1
9	7	1	22	1	1	-1
9	8	1	22	1	1	-1
9	9	1	22	1	1	-1
9	10	1	22	1	1	-1
9	11	1	22	1	1	-1
9	12	1	22	1	1	-1
9	13	1	22	1	1	-1
9	14	1	22	1	1	-1
9	15	1	22	1	1	-1
9	16	1	22	1	1	-1
10	1	1	27	1	1	-1
10	2	1	27	1	1	-1
10	3	1	27	1	1	-1
10	4	2	27	2	2	-1
10	5	1	27	1	1	-1
10	6	1	27	1	1	-1
10	7	1	27	1	1	-1
10	8	1	27	1	1	-1
10	9	1	27	1	1	-1
10	10	1	27	1	1	-1
10	11	1	27	1	1	-1
10	12	1	27	1	1	-1
10	13	1	27	1	1	-1
10	14	1	27	1	1	-1
10	15	1	27	1	1	-1
10	16	1	27	1	1	-1
11	1	1	23	1	1	-1
11	2	1	23	1	1	-1
11	3	1	23	1	1	-1
11	4	2	23	2	2	-1
11	5	1	23	1	1	-1
11	6	1	23	1	1	-1
11	7	1	23	1	1	-1
11	8	1	23	1	1	-1
11	9	1	23	1	1	-1
11	10	1	23	1	1	-1
