Chp_sq	Recomb	N	n	K	k	Probability
12	7	1091	196	298	57	0.057677603465993835
12	8	563	196	121	32	0.007815303418376699
12	9	440	196	128	30	3.889372523580866e-09
12	10	746	196	175	46	0.07814485606080428
12	11	667	196	178	41	0.007093559383001006
12	12	1079	196	196	196	2.736731086532428e-221
12	13	925	196	229	56	0.02785211174624026
12	14	785	196	178	43	0.07587399999086185
12	15	1092	196	266	37	0.010289683652576159
12	16	949	196	195	36	0.056512915730790494
13	1	231	97	55	18	0.03544197322902133
13	2	814	97	178	23	0.09112765737709208
13	3	317	97	96	26	0.07186119615813946
13	4	1532	97	366	24	0.09474257325403315
13	5	577	97	153	30	0.05490690610007514
13	6	271	97	72	22	0.06471402640053159
13	7	1091	97	298	32	0.03933977965097889
13	8	563	97	121	24	0.0727580553045303
13	9	440	97	128	27	0.09688152475658254
13	10	746	97	175	28	0.040442523221501235
13	11	667	97	178	24	0.09016270506211503
13	12	1079	97	196	22	0.050968055677986554
13	13	925	97	229	97	1.0716331432248883e-67
13	14	785	97	178	23	0.09820759104294961
13	15	1092	97	266	22	0.09271183871240915
13	16	949	97	195	20	0.10519900642225569
14	1	231	148	55	11	1.3032599845719855e-14
14	2	814	148	178	35	0.07258701725518216
14	3	317	148	96	21	2.0180445930632593e-09
14	4	1532	148	366	38	0.06858263881547191
14	5	577	148	153	34	0.04619338971309152
14	6	271	148	72	18	2.5390661578293497e-09
14	7	1091	148	298	42	0.07450972184573343
14	8	563	148	121	26	0.037973066245118134
14	9	440	148	128	26	5.089160459232333e-05
14	10	746	148	175	30	0.05254135340710805
14	11	667	148	178	40	0.08313452942646887
14	12	1079	148	196	38	0.004061850758000807
14	13	925	148	229	46	0.012764691836681812
14	14	785	148	178	148	2.320345132571288e-130
14	15	1092	148	266	36	0.08198644741717273
14	16	949	148	195	37	0.030014025538028555
15	1	231	208	55	9	-1
15	2	814	208	178	43	0.06975869611189577
15	3	317	208	96	26	4.098970946292074e-21
